Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2023-11-19,Bills,Jets,3,6:42,2,5,BUF 19,28-6,Josh Allen pass complete deep right to Khalil Shakir for 81 yards touchdown,81,-0.04,7,7.04
2023-12-23,Bills,Chargers,2,9:12,1,10,BUF 43,6-10,Josh Allen pass complete deep right to Gabriel Davis for 57 yards touchdown,57,1.8,7,5.2
2023-10-01,Bills,Dolphins,2,3:12,2,6,BUF 45,27-14,Josh Allen pass complete short left to Stefon Diggs for 55 yards touchdown. Penalty on Kader Kohou: Illegal Contact 5 yards (declined),55,1.66,7,5.34
2023-12-31,Bills,Patriots,3,13:44,1,10,BUF 36,20-14,Josh Allen pass complete deep right to Dalton Kincaid for 51 yards (tackle by Kyle Dugger),51,1.33,4.71,3.38
2023-10-08,Bills,Jaguars,3,9:30,1,10,BUF 10,7-11,Josh Allen pass complete deep right to Stefon Diggs for 48 yards (tackle by Andre Cisco),48,-0.38,2.79,3.17
2023-10-01,Bills,Dolphins,3,8:18,1,10,BUF 36,31-20,Josh Allen pass complete short right to James Cook for 48 yards (tackle by David Long),48,1.33,4.51,3.18
2024-01-07,Bills,Dolphins,1,2:23,2,10,BUF 11,0-0,Josh Allen pass complete short left to Khalil Shakir for 46 yards (tackle by DeShon Elliott),46,-0.78,2.72,3.5
2023-10-08,Bills,Jaguars,4,2:56,1,10,BUF 25,13-25,Josh Allen pass complete deep left to Deonte Harty for 43 yards (tackle by Rayshawn Jenkins),43,0.61,3.45,2.84
2023-09-17,Bills,Raiders,4,7:21,3,6,RAI 48,31-10,Josh Allen pass complete deep right to Gabriel Davis for 40 yards (tackle by Jakorian Bennett),40,1.42,5.37,3.95
2023-11-13,Bills,Broncos,3,2:02,2,7,BUF 14,15-15,Josh Allen pass complete deep left to Gabriel Davis for 38 yards (tackle by Delarrin Turner-Yell),38,-0.53,2.39,2.92
2024-01-07,Bills,Dolphins,2,5:57,2,7,MIA 43,0-7,Josh Allen pass complete deep left to Stefon Diggs for 36 yards (tackle by Eli Apple),36,2.38,5.6,3.22
2023-12-23,Bills,Chargers,3,3:22,1,10,SDG 42,14-13,Josh Allen pass complete deep left to Gabriel Davis for 36 yards,36,2.79,5.83,3.04
2023-09-24,Bills,Washington,1,0:47,1,10,WAS 35,9-0,Josh Allen pass complete deep left to Gabriel Davis for 35 yards touchdown,35,3.25,7,3.75
2023-10-01,Bills,Dolphins,3,0:39,1,10,MIA 45,41-20,Josh Allen pass complete deep right to Gabriel Davis for 34 yards (tackle by Kelvin Joseph),34,2.59,4.84,2.25
2023-11-05,Bills,Bengals,1,8:06,1,10,BUF 29,0-7,Josh Allen pass complete short left to Stefon Diggs for 34 yards (tackle by Logan Wilson),34,0.87,3.12,2.25
2023-11-26,Bills,Eagles,2,5:42,3,7,BUF 8,10-7,Josh Allen pass complete deep left to Khalil Shakir for 31 yards (tackle by Reed Blankenship),31,-1.07,1.53,2.6
2023-09-24,Bills,Washington,3,9:11,1,10,BUF 1,16-0,Josh Allen pass complete deep right to Stefon Diggs for 30 yards (tackle by Darrick Forrest and Benjamin St-Juste),30,-0.38,1,1.38
2023-10-26,Bills,Buccaneers,1,2:32,3,5,TAM 38,3-0,Josh Allen pass complete deep right to Khalil Shakir for 30 yards (tackle by Ryan Neal),30,2.15,5.37,3.22
2023-09-24,Bills,Washington,1,11:41,3,8,BUF 40,0-0,Josh Allen pass complete deep right to Stefon Diggs for 30 yards (tackle by Emmanuel Forbes),30,0.5,3.58,3.08
2023-10-08,Bills,Jaguars,4,2:30,1,10,JAX 32,13-25,Josh Allen pass complete deep right to Gabriel Davis for 29 yards,29,3.45,6.51,3.06
2024-01-07,Bills,Dolphins,1,10:08,2,4,BUF 36,0-0,Josh Allen pass complete deep left to Dalton Kincaid for 29 yards (tackle by DeShon Elliott),29,1.2,3.25,2.05
2023-11-26,Bills,Eagles,3,5:08,1,10,BUF 43,17-14,Josh Allen pass complete short left to James Cook for 29 yards (tackle by Darius Slay),29,1.8,3.71,1.91
2023-10-22,Bills,Patriots,1,5:16,3,5,BUF 30,0-10,Josh Allen pass complete deep left to James Cook for 28 yards (tackle by Kyle Dugger),28,0.04,2.79,2.75
2023-10-15,Bills,Giants,1,3:19,1,10,BUF 25,0-3,Josh Allen pass complete deep left to Stefon Diggs for 28 yards (tackle by Adoree' Jackson). Penalty on Deonte Banks: Illegal Contact 5 yards (declined),28,0.61,2.46,1.85
2023-11-19,Bills,Jets,3,10:41,4,1,NYJ 28,22-6,Josh Allen pass complete short right to Ty Johnson for 28 yards touchdown,28,1.72,7,5.28
2024-01-07,Bills,Dolphins,4,8:40,2,6,MIA 31,14-14,Josh Allen pass complete deep right to Khalil Shakir for 28 yards (tackle by Kader Kohou),28,3.24,6.51,3.27
2023-12-10,Bills,Chiefs,1,0:06,2,10,KAN 50,7-0,Josh Allen pass complete short left to James Cook for 27 yards (tackle by Justin Reid),27,1.71,4.04,2.33
2023-11-19,Bills,Jets,2,14:53,2,16,BUF 45,6-0,Josh Allen pass complete short middle to Khalil Shakir for 27 yards (tackle by Jordan Whitehead),27,0.97,3.71,2.74
2023-09-11,Bills,Jets,2,6:58,2,11,NYJ 37,3-3,Josh Allen pass complete deep right to Gabriel Davis for 26 yards (tackle by Tony Adams),26,2.5,4.84,2.34
2024-01-07,Bills,Dolphins,4,10:06,1,10,BUF 39,14-14,Josh Allen pass complete deep left to Dalton Kincaid for 26 yards,26,1.53,3.25,1.72
2023-09-17,Bills,Raiders,2,5:34,2,1,RAI 34,14-10,Josh Allen pass complete short left to James Cook for 26 yards (tackle by Tre'von Moehrig),26,3.39,5.37,1.98
2023-11-26,Bills,Eagles,2,1:47,2,2,PHI 32,10-7,Josh Allen pass complete deep right to Gabriel Davis for 25 yards (tackle by Kevin Byard),25,3.45,5.6,2.15
2023-12-10,Bills,Chiefs,1,3:48,2,8,KAN 25,6-0,Josh Allen pass complete short left to James Cook for 25 yards touchdown,25,3.5,7,3.5
2023-10-22,Bills,Patriots,4,5:40,1,10,NWE 25,16-22,Josh Allen pass complete deep right to Stefon Diggs for 25 yards touchdown,25,3.91,7,3.09
2023-12-10,Bills,Chiefs,4,5:41,3,6,BUF 35,17-17,Josh Allen pass complete deep right to Deonte Harty for 25 yards (tackle by Chamarri Conner),25,0.3,2.92,2.62
2023-11-13,Bills,Broncos,3,8:50,2,7,DEN 40,8-15,Josh Allen pass complete deep left to Khalil Shakir for 24 yards,24,2.58,4.51,1.93
2023-12-17,Bills,Cowboys,1,0:11,2,10,BUF 41,7-0,Josh Allen pass complete short right to James Cook for 24 yards (tackle by Damone Clark and Stephon Gilmore),24,1.12,3.25,2.13
2023-10-08,Bills,Jaguars,4,7:24,1,20,BUF 15,7-18,Josh Allen pass complete deep right to Gabriel Davis for 24 yards (tackle by Andre Cisco),24,-0.41,1.53,1.94
2023-11-26,Bills,Eagles,3,13:29,1,10,BUF 31,17-7,Josh Allen pass complete deep right to Gabriel Davis for 23 yards (tackle by Reed Blankenship),23,1,2.52,1.52
2023-11-05,Bills,Bengals,2,1:37,1,10,BUF 25,7-21,Josh Allen pass complete deep middle to Khalil Shakir for 23 yards (tackle by Daxton Hill and Nick Scott),23,0.61,2.13,1.52
2023-11-13,Bills,Broncos,2,3:41,1,10,DEN 22,6-9,Josh Allen pass complete deep right to Dalton Kincaid for 22 yards touchdown,22,4.11,7,2.89
2023-10-01,Bills,Dolphins,2,7:42,1,10,BUF 27,21-14,Josh Allen pass complete short left to Latavius Murray for 22 yards (tackle by Brandon Jones),22,0.74,2.19,1.45
2023-10-26,Bills,Buccaneers,2,2:46,3,12,TAM 22,16-10,Josh Allen pass complete short right to Dalton Kincaid for 22 yards touchdown,22,2.74,7,4.26
2023-11-05,Bills,Bengals,1,7:23,1,10,CIN 37,0-7,Josh Allen pass complete deep right to Khalil Shakir for 22 yards (tackle by Mike Hilton),22,3.12,4.58,1.46
2023-11-26,Bills,Eagles,2,1:58,3,5,BUF 38,10-7,Josh Allen pass complete deep right to Stefon Diggs for 22 yards (tackle by Reed Blankenship),22,0.56,2.92,2.36
2023-10-26,Bills,Buccaneers,1,11:32,2,2,BUF 25,0-0,Josh Allen pass complete short right to Khalil Shakir for 21 yards (tackle by Carlton Davis),21,0.62,1.99,1.37
2023-12-10,Bills,Chiefs,4,10:42,3,9,BUF 26,17-17,Josh Allen pass complete deep left to Latavius Murray for 21 yards. Latavius Murray fumbles ball out of bounds at BUF-47. Latavius Murray fumbles out of bounds KAN challenged the pass completion ruling and the play was upheld.,21,-0.49,2.06,2.55
2023-09-24,Bills,Washington,3,1:50,2,7,BUF 34,16-0,Josh Allen pass complete deep left to Stefon Diggs for 20 yards (tackle by Kamren Curl),20,0.87,2.52,1.65
2023-12-23,Bills,Chargers,2,2:40,2,6,SDG 44,7-10,Josh Allen pass complete short right to Gabriel Davis for 20 yards (tackle by Derwin James),20,2.39,3.97,1.58
2023-10-15,Bills,Giants,2,3:03,1,10,BUF 35,0-6,Josh Allen pass complete short right to Stefon Diggs for 19 yards (tackle by Adoree' Jackson),19,1.27,2.52,1.25
2023-10-08,Bills,Jaguars,2,4:59,3,6,BUF 18,0-11,Josh Allen pass complete deep left to Deonte Harty for 19 yards (tackle by Darious Williams),19,-0.92,1.4,2.32
2023-09-17,Bills,Raiders,1,0:05,1,10,BUF 37,7-7,Josh Allen pass complete deep left to Gabriel Davis for 19 yards (tackle by Robert Spillane). Penalty on Bilal Nichols: Defensive Offside 5 yards (declined),19,1.4,2.65,1.25
2023-09-24,Bills,Washington,2,6:57,3,8,BUF 36,10-0,Josh Allen pass complete short middle to Stefon Diggs for 19 yards (tackle by Darrick Forrest and Kendall Fuller),19,0.23,2.59,2.36
2023-11-26,Bills,Eagles,2,9:26,3,9,PHI 28,3-7,Josh Allen pass complete deep right to Gabriel Davis for 19 yards (tackle by James Bradberry),19,2.54,5.14,2.6
2023-10-08,Bills,Jaguars,4,4:08,2,19,JAX 19,13-18,Josh Allen pass complete deep left to Gabriel Davis for 19 yards touchdown. Penalty on Tyson Campbell: Defensive Pass Interference 15 yards (declined),19,3.07,7,3.93
2023-09-11,Bills,Jets,2,9:57,2,15,BUF 20,3-3,Josh Allen pass complete short right to Stefon Diggs for 18 yards (tackle by C.J. Mosley and Michael Carter),18,-0.61,1.47,2.08
2023-10-01,Bills,Dolphins,1,10:46,1,10,MIA 18,6-0,Josh Allen pass complete deep right to Gabriel Davis for 18 yards touchdown,18,4.37,7,2.63
2023-12-31,Bills,Patriots,4,10:10,2,14,BUF 10,27-21,Josh Allen pass complete short middle to Khalil Shakir for 18 yards (tackle by Kyle Dugger),18,-1.07,0.81,1.88
2023-12-31,Bills,Patriots,3,1:53,3,12,BUF 10,27-14,Josh Allen pass complete short right to Dalton Kincaid for 18 yards (tackle by Mack Wilson),18,-1.65,0.81,2.46
2023-12-17,Bills,Cowboys,2,12:57,1,10,DAL 18,13-0,Josh Allen pass complete deep right to James Cook for 18 yards touchdown,18,4.37,7,2.63
2023-10-08,Bills,Jaguars,2,4:16,1,10,BUF 37,0-11,Josh Allen pass complete short middle to James Cook for 18 yards (tackle by Foyesade Oluokun). Penalty on Foyesade Oluokun: Illegal Contact 5 yards (declined),18,1.4,2.59,1.19
2023-12-17,Bills,Cowboys,1,11:35,1,10,DAL 40,0-0,Josh Allen pass complete deep left to Stefon Diggs for 18 yards (tackle by Stephon Gilmore),18,2.92,4.11,1.19
2023-11-26,Bills,Eagles,4,11:07,1,10,BUF 25,24-28,Josh Allen pass complete short middle to Gabriel Davis for 18 yards (tackle by Kevin Byard and Nicholas Morrow),18,0.61,1.8,1.19
2023-10-15,Bills,Giants,1,11:37,2,8,BUF 17,0-0,Josh Allen pass complete short middle to Stefon Diggs for 18 yards (tackle by Dane Belton),18,-0.44,1.27,1.71
2023-10-26,Bills,Buccaneers,3,15:00,1,10,BUF 25,17-10,Josh Allen pass complete short left to Dalton Kincaid for 18 yards (tackle by Carlton Davis and Antoine Winfield),18,0.61,1.8,1.19
2023-11-13,Bills,Broncos,1,11:55,3,16,BUF 19,0-3,Josh Allen pass complete deep left to Gabriel Davis for 18 yards (tackle by Alex Singleton and Damarri Mathis),18,-1.51,1.4,2.91
2023-12-23,Bills,Chargers,4,5:26,1,10,BUF 25,21-22,Josh Allen pass complete short middle to Dawson Knox for 17 yards (tackle by Derwin James),17,0.61,1.73,1.12
2023-12-17,Bills,Cowboys,4,13:41,3,8,DAL 46,24-3,Josh Allen pass complete short right to Stefon Diggs for 17 yards (tackle by Juanyeh Thomas),17,1.42,3.64,2.22
2023-10-26,Bills,Buccaneers,1,4:21,1,10,BUF 40,3-0,Josh Allen pass complete short middle to Stefon Diggs for 17 yards (tackle by Carlton Davis),17,1.6,2.72,1.12
2024-01-07,Bills,Dolphins,2,8:51,1,10,BUF 25,0-7,Josh Allen pass complete deep right to Dawson Knox for 17 yards (tackle by Brandon Jones),17,0.61,1.73,1.12
2023-10-22,Bills,Patriots,3,14:23,2,12,BUF 17,3-13,Josh Allen pass complete short middle to Stefon Diggs for 17 yards (tackle by Jack Jones and Jabrill Peppers),17,-0.72,1.2,1.92
2023-11-05,Bills,Bengals,4,3:38,3,1,CIN 17,16-24,Josh Allen pass complete deep right to Stefon Diggs for 17 yards touchdown,17,3.95,7,3.05
2023-09-17,Bills,Raiders,2,1:02,3,8,BUF 45,14-10,Josh Allen pass complete deep left to Stefon Diggs for 17 yards (tackle by Jakorian Bennett),17,0.83,3.05,2.22
2023-10-01,Bills,Dolphins,1,11:10,2,8,BUF 50,0-0,Josh Allen pass complete deep left to Stefon Diggs for 17 yards. Penalty on Kader Kohou: Unnecessary Roughness / Defense 15 yards (accepted),17,1.85,4.37,2.52
2023-12-23,Bills,Chargers,1,5:48,2,7,BUF 19,0-3,Josh Allen pass complete deep right to Gabriel Davis for 17 yards (tackle by Michael Davis),17,-0.18,1.33,1.51
2023-10-22,Bills,Patriots,3,4:19,3,15,BUF 20,10-16,Josh Allen pass complete short right to Latavius Murray for 17 yards (tackle by Jalen Mills),17,-1.29,1.4,2.69
2024-01-07,Bills,Dolphins,2,0:44,1,10,MIA 40,7-14,Josh Allen pass complete short right to Stefon Diggs for 17 yards (tackle by Brandon Jones and Jerome Baker),17,2.92,4.04,1.12
2023-12-23,Bills,Chargers,3,4:07,3,4,BUF 42,14-13,Josh Allen pass complete short right to Khalil Shakir for 16 yards (tackle by Derwin James),16,0.89,2.79,1.9
2023-09-17,Bills,Raiders,4,9:18,1,10,BUF 32,31-10,Josh Allen pass complete short left to Stefon Diggs for 16 yards (tackle by Roderic Teamer),16,1.07,2.13,1.06
2023-10-26,Bills,Buccaneers,1,10:51,1,10,BUF 46,0-0,Josh Allen pass complete short right to Gabriel Davis for 16 yards (tackle by Jamel Dean),16,1.99,3.05,1.06
2023-11-19,Bills,Jets,1,2:18,1,10,BUF 20,6-0,Josh Allen pass complete short middle to Dalton Kincaid for 16 yards (tackle by Jordan Whitehead),16,0.28,1.33,1.05
2023-10-01,Bills,Dolphins,2,12:42,1,10,BUF 21,14-14,Josh Allen pass complete short middle to Stefon Diggs for 16 yards (tackle by Kader Kohou),16,0.34,1.4,1.06
2023-10-26,Bills,Buccaneers,3,6:31,3,4,BUF 29,24-10,Josh Allen pass complete short left to Dalton Kincaid for 15 yards (tackle by Lavonte David),15,0.04,1.86,1.82
2023-12-31,Bills,Patriots,3,14:14,2,14,BUF 21,20-14,Josh Allen pass complete short right to Gabriel Davis for 15 yards (tackle by Shaun Wade),15,-0.48,1.33,1.81
2023-09-11,Bills,Jets,1,5:44,2,4,NYJ 45,0-0,Josh Allen pass complete short right to Stefon Diggs for 15 yards (tackle by Adrian Amos),15,2.46,3.58,1.12
2023-10-22,Bills,Patriots,2,6:17,1,10,BUF 36,3-13,Josh Allen pass complete short middle to Dalton Kincaid for 15 yards (tackle by Ja'Whaun Bentley and Jack Jones),15,1.33,2.32,0.99
2023-09-11,Bills,Jets,3,8:19,2,11,BUF 24,13-6,Josh Allen pass complete short left to Dawson Knox for 15 yards (tackle by Tony Adams),15,-0.07,1.53,1.6
2023-11-19,Bills,Jets,3,13:25,2,9,BUF 48,16-6,Josh Allen pass complete short right to James Cook for 15 yards (tackle by C.J. Mosley),15,1.65,3.12,1.47
2023-10-26,Bills,Buccaneers,4,2:23,3,5,BUF 28,24-18,Josh Allen pass complete short left to Stefon Diggs for 15 yards (tackle by Antoine Winfield),15,-0.1,1.8,1.9
2023-09-11,Bills,Jets,4,1:00,1,10,BUF 38,13-16,Josh Allen pass complete short right to Stefon Diggs for 15 yards (tackle by Michael Carter),15,1.47,2.46,0.99
2023-10-08,Bills,Jaguars,2,10:15,1,10,BUF 7,0-11,Josh Allen pass complete short right to Stefon Diggs for 15 yards,15,-0.38,0.41,0.79
2023-10-08,Bills,Jaguars,2,1:19,1,10,JAX 15,6-11,Josh Allen pass complete short right to Stefon Diggs for 15 yards touchdown,15,4.58,7,2.42
2023-09-11,Bills,Jets,4,0:35,1,20,BUF 43,13-16,Josh Allen pass complete short left to Stefon Diggs for 15 yards (tackle by D.J. Reed),15,1.8,2.59,0.79
2023-09-17,Bills,Raiders,2,0:34,1,10,RAI 26,14-10,Josh Allen pass complete short right to Gabriel Davis for 15 yards (tackle by Marcus Peters),15,3.84,4.84,1
2023-11-05,Bills,Bengals,3,12:54,1,10,CIN 48,7-21,Josh Allen pass complete short right to Stefon Diggs for 15 yards,15,2.39,3.38,0.99
2023-12-23,Bills,Chargers,4,2:34,3,4,SDG 28,21-22,Josh Allen pass complete short right to Khalil Shakir for no gain touchdown Replay Assistant challenged the runner was down by contact ruling and the original play was overturned. Josh Allen pass complete short right to Khalil Shakir for 15 yards (tackle by Jaylinn Hawkins),15,2.87,4.71,1.84
2023-11-19,Bills,Jets,1,1:35,2,10,BUF 36,6-0,Josh Allen pass complete short middle to Ty Johnson for 15 yards (tackle by Jordan Whitehead and Adrian Amos),15,0.79,2.32,1.53
2023-10-15,Bills,Giants,4,3:55,2,6,NYG 15,13-9,Josh Allen pass complete short right to Quintin Morris for 15 yards touchdown,15,4.35,7,2.65
2023-10-26,Bills,Buccaneers,2,6:10,1,10,BUF 43,10-10,Josh Allen pass complete short left to Gabriel Davis for 14 yards (tackle by Carlton Davis),14,1.8,2.72,0.92
2023-09-17,Bills,Raiders,3,1:50,2,5,RAI 27,28-10,Josh Allen pass complete short middle to Dalton Kincaid for 14 yards (tackle by Robert Spillane and Tre'von Moehrig),14,3.58,4.71,1.13
2023-11-26,Bills,Eagles,4,3:14,1,10,PHI 27,24-28,Josh Allen pass complete short left to Stefon Diggs for 14 yards (tackle by Kevin Byard),14,3.78,4.71,0.93
2023-10-26,Bills,Buccaneers,3,12:11,2,7,TAM 17,17-10,Josh Allen pass complete short right to Gabriel Davis for 14 yards (tackle by Shaquil Barrett),14,4.12,6.51,2.39
2023-10-26,Bills,Buccaneers,4,12:23,2,9,BUF 34,24-10,Josh Allen pass complete short right to Khalil Shakir for 14 yards (tackle by Ryan Neal),14,0.73,2.13,1.4
2023-10-15,Bills,Giants,4,8:23,2,5,BUF 44,7-9,Josh Allen pass complete short right to Stefon Diggs for 14 yards (tackle by Adoree' Jackson),14,1.66,2.79,1.13
2023-12-23,Bills,Chargers,1,14:37,2,10,BUF 25,0-0,Josh Allen pass complete short left to Khalil Shakir for 14 yards (tackle by Asante Samuel),14,0.06,1.53,1.47
2023-10-22,Bills,Patriots,2,3:48,3,6,NWE 32,3-13,Josh Allen pass complete short right to Dalton Kincaid for 14 yards (tackle by Kyle Dugger),14,2.48,4.37,1.89
2023-10-08,Bills,Jaguars,4,14:49,1,10,BUF 32,7-11,Josh Allen pass complete short middle to Dalton Kincaid for 14 yards (tackle by Andre Cisco),14,1.07,1.99,0.92
2023-10-08,Bills,Jaguars,3,15:00,1,10,BUF 25,7-11,Josh Allen pass complete short right to Stefon Diggs for 14 yards (tackle by Darious Williams),14,0.61,1.53,0.92
2023-12-31,Bills,Patriots,2,9:39,1,10,BUF 18,20-14,Josh Allen pass complete short middle to Dalton Kincaid for 14 yards (tackle by Kyle Dugger),14,0.04,1.07,1.03
2023-11-26,Bills,Eagles,2,0:43,1,20,PHI 27,10-7,Josh Allen pass complete short middle to Dalton Kincaid for 14 yards (tackle by Zach Cunningham),14,3.78,4.5,0.72
2023-11-13,Bills,Broncos,2,4:50,1,10,BUF 50,0-9,Josh Allen pass complete short left to Stefon Diggs for 14 yards (tackle by Josey Jewell and Delarrin Turner-Yell),14,2.26,3.18,0.92
2023-12-10,Bills,Chiefs,2,0:48,3,5,BUF 30,14-7,Josh Allen pass complete short right to Dawson Knox for 13 yards (tackle by Mike Edwards),13,0.04,1.8,1.76
2023-11-26,Bills,Eagles,2,0:21,3,6,PHI 13,16-7,Josh Allen pass complete short left to Stefon Diggs for 13 yards touchdown,13,3.68,7,3.32
2024-01-07,Bills,Dolphins,3,1:49,2,7,MIA 31,7-14,Josh Allen pass complete short middle to Khalil Shakir for 13 yards (tackle by Brandon Jones),13,3.18,4.37,1.19
2023-10-22,Bills,Patriots,4,4:56,1,10,NWE 29,17-22,Josh Allen pass complete short middle to Khalil Shakir for 13 yards (tackle by Myles Bryant),13,3.64,4.51,0.87
2023-09-11,Bills,Jets,1,3:59,3,15,NYJ 35,0-0,Josh Allen pass complete short left to Damien Harris for 13 yards (tackle by Quincy Williams),13,1.68,2.12,0.44
2023-11-26,Bills,Eagles,5,9:21,3,9,BUF 26,31-31,Josh Allen pass complete short middle to Gabriel Davis for 13 yards (tackle by Reed Blankenship),13,-0.49,1.53,2.02
2023-11-19,Bills,Jets,1,7:34,2,4,NYJ 27,3-0,Josh Allen pass complete short right to Dalton Kincaid for 13 yards (tackle by Tony Adams),13,3.65,4.65,1
2023-10-15,Bills,Giants,3,6:20,3,2,NYG 49,0-6,Josh Allen pass complete short right to Khalil Shakir for 13 yards (tackle by Xavier McKinney),13,1.62,3.18,1.56
2023-10-01,Bills,Dolphins,3,3:04,1,10,MIA 13,40-20,Josh Allen pass complete short left to Stefon Diggs for 13 yards touchdown,13,4.71,7,2.29
2023-10-26,Bills,Buccaneers,1,12:35,1,10,BUF 4,0-0,Josh Allen pass complete short left to Khalil Shakir for 13 yards (tackle by Jamel Dean),13,-0.38,-0.06,0.32
