Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2023-11-05,Bills,Bengals,1,6:39,1,10,CIN 15,0-7,Josh Allen pass complete short right to Dalton Kincaid for 13 yards (tackle by Germaine Pratt),13,4.58,6.74,2.16
2023-12-10,Bills,Chiefs,3,15:00,1,10,BUF 25,14-7,Josh Allen pass complete short middle to Dawson Knox for 12 yards (tackle by Justin Reid),12,0.61,1.4,0.79
2023-10-08,Bills,Jaguars,4,0:22,1,10,BUF 6,20-25,Josh Allen pass complete deep right to Stefon Diggs for 12 yards. Stefon Diggs fumbles (forced by Darious Williams) recovered by Travon Walker at BUF-18,12,-0.38,-4.37,-3.99
2023-11-26,Bills,Eagles,1,0:33,2,4,BUF 31,0-7,Josh Allen pass complete short right to Stefon Diggs for 12 yards (tackle by Kevin Byard),12,0.87,1.8,0.93
2024-01-07,Bills,Dolphins,3,7:03,2,9,BUF 25,7-14,Josh Allen pass complete short middle to Trent Sherfield for 12 yards (tackle by Eli Apple),12,0.13,1.4,1.27
2023-10-01,Bills,Dolphins,1,4:33,1,10,BUF 37,7-7,Josh Allen pass complete short left to Dawson Knox for 12 yards (tackle by Jevon Holland and David Long),12,1.4,2.19,0.79
2023-10-26,Bills,Buccaneers,2,3:59,1,10,TAM 32,10-10,Josh Allen pass complete short left to Stefon Diggs for 12 yards (tackle by Ryan Neal),12,3.45,4.24,0.79
2023-12-10,Bills,Chiefs,1,11:30,1,10,BUF 47,0-0,Josh Allen pass complete short right to James Cook for 12 yards (tackle by Mike Edwards),12,2.06,2.85,0.79
2023-12-10,Bills,Chiefs,3,11:56,2,4,KAN 28,14-7,Josh Allen pass complete short right to Khalil Shakir for 12 yards (tackle by Willie Gay),12,3.58,4.51,0.93
2024-01-07,Bills,Dolphins,2,0:15,3,10,MIA 23,7-14,Josh Allen pass complete short right to Deonte Harty for 12 yards (tackle by Jalen Ramsey),12,2.81,4.84,2.03
2023-10-22,Bills,Patriots,4,7:28,1,10,BUF 25,10-22,Josh Allen pass complete short right to Dalton Kincaid for 12 yards (tackle by Kyle Dugger and Ja'Whaun Bentley),12,0.61,1.4,0.79
2023-10-08,Bills,Jaguars,4,6:35,1,20,BUF 29,7-18,Josh Allen pass complete short left to Dawson Knox for 11 yards (tackle by Adam Gotsis),11,0.87,1.12,0.25
2023-11-05,Bills,Bengals,3,1:45,1,10,BUF 45,10-21,Josh Allen pass complete short right to Dalton Kincaid for 11 yards (tackle by Logan Wilson and Germaine Pratt),11,1.93,2.65,0.72
2023-10-26,Bills,Buccaneers,3,13:26,1,10,TAM 31,17-10,Josh Allen pass complete short right to Gabriel Davis for 11 yards (tackle by Lavonte David and Devin White),11,3.51,4.24,0.73
2023-10-22,Bills,Patriots,4,6:11,2,5,NWE 36,10-22,Josh Allen pass complete short right to Khalil Shakir for 11 yards (tackle by Myles Bryant),11,2.98,3.91,0.93
2023-11-13,Bills,Broncos,4,13:58,1,10,BUF 24,15-15,Josh Allen pass complete short left to Stefon Diggs for 11 yards (tackle by Alex Singleton and Patrick Surtain),11,0.54,1.27,0.73
2023-09-17,Bills,Raiders,1,6:20,2,14,RAI 19,0-7,Josh Allen pass complete short right to Stefon Diggs for 11 yards (tackle by Divine Deablo),11,3.45,4.45,1
2023-11-19,Bills,Jets,2,12:10,3,13,NYJ 26,6-0,Josh Allen pass complete short middle to Quintin Morris for 11 yards (tackle by Adrian Amos and C.J. Mosley),11,2.41,2.57,0.16
2023-10-08,Bills,Jaguars,4,4:50,2,12,JAX 29,7-18,Josh Allen pass complete short right to Khalil Shakir for 11 yards (tackle by Tre Herndon),11,2.96,3.84,0.88
2023-12-23,Bills,Chargers,4,2:56,3,8,SDG 45,21-22,Josh Allen pass complete short right to Stefon Diggs for 11 yards (tackle by Essang Bassey),11,1.49,3.31,1.82
2024-01-07,Bills,Dolphins,2,1:23,2,4,BUF 31,7-14,Josh Allen pass complete short right to Stefon Diggs for 11 yards (tackle by Jalen Ramsey),11,0.87,1.73,0.86
2023-11-19,Bills,Jets,3,11:22,3,12,NYJ 39,16-6,Josh Allen pass complete short middle to Stefon Diggs for 11 yards (tackle by D.J. Reed),11,1.62,1.72,0.1
2023-12-10,Bills,Chiefs,1,6:28,2,6,KAN 49,0-0,Josh Allen pass complete short right to Dawson Knox for 11 yards (tackle by Justin Reid),11,2.06,3.05,0.99
2023-10-01,Bills,Dolphins,2,10:07,2,11,MIA 11,20-14,Josh Allen pass complete short middle to Stefon Diggs for 11 yards touchdown,11,4.02,7,2.98
2023-12-31,Bills,Patriots,4,3:35,3,7,NWE 46,27-21,Josh Allen pass complete short middle to Khalil Shakir for 11 yards (tackle by Ja'Whaun Bentley and Jalen Mills),11,1.49,3.25,1.76
2023-09-24,Bills,Washington,1,10:55,1,10,WAS 30,0-0,Josh Allen pass complete short right to Dawson Knox for 11 yards (tackle by Benjamin St-Juste). Penalty on James Smith-Williams: Defensive Offside 5 yards (declined),11,3.58,4.31,0.73
2024-01-07,Bills,Dolphins,3,4:42,3,3,BUF 44,7-14,Josh Allen pass complete short middle to Dalton Kincaid for 11 yards (tackle by DeShon Elliott),11,1.09,2.59,1.5
2023-11-05,Bills,Bengals,3,13:19,1,10,BUF 41,7-21,Josh Allen pass complete short right to Dalton Kincaid for 11 yards (tackle by Mike Hilton),11,1.66,2.39,0.73
2023-12-10,Bills,Chiefs,2,4:32,2,15,BUF 32,14-0,Josh Allen pass complete short left to James Cook for 11 yards (tackle by L'Jarius Sneed),11,0.18,0.96,0.78
2023-09-17,Bills,Raiders,2,0:24,2,10,RAI 11,20-10,Josh Allen pass complete short middle to Khalil Shakir for 11 yards touchdown,11,4.14,7,2.86
2023-09-24,Bills,Washington,4,14:05,1,10,WAS 31,16-0,Josh Allen pass complete short middle to James Cook for 10 yards (tackle by Jamin Davis and Cody Barton),10,3.51,4.17,0.66
2023-11-19,Bills,Jets,3,14:07,2,13,BUF 22,16-6,Josh Allen pass complete short right to Stefon Diggs for 10 yards (tackle by Sauce Gardner). Penalty on Sauce Gardner: Unnecessary Roughness / Defense 15 yards (accepted),10,-0.34,2.06,2.4
2023-09-17,Bills,Raiders,3,10:54,3,2,RAI 31,21-10,Josh Allen pass complete short right to Stefon Diggs for 10 yards (tackle by Divine Deablo),10,2.81,4.17,1.36
2023-10-22,Bills,Patriots,3,11:34,1,10,NWE 20,3-13,Josh Allen pass complete short left to Dawson Knox for 10 yards (tackle by Jabrill Peppers),10,4.24,4.91,0.67
2023-10-15,Bills,Giants,3,8:16,1,10,BUF 33,0-6,Josh Allen pass complete short middle to Dawson Knox for 10 yards (tackle by Bobby Okereke),10,1.14,1.8,0.66
2023-10-08,Bills,Jaguars,2,1:23,3,4,JAX 25,0-11,Josh Allen pass complete short left to Gabriel Davis for 10 yards,10,3.07,4.58,1.51
2023-11-05,Bills,Bengals,2,1:15,1,10,BUF 48,7-21,Josh Allen pass complete short middle to Dalton Kincaid for 10 yards (tackle by Germaine Pratt),10,2.13,2.79,0.66
2023-10-22,Bills,Patriots,1,3:03,1,10,NWE 33,0-10,Josh Allen pass complete short left to James Cook for 10 yards (tackle by Deatrich Wise),10,3.38,4.04,0.66
2023-11-26,Bills,Eagles,3,11:19,3,4,PHI 40,17-7,Josh Allen pass complete short right to Khalil Shakir for 10 yards (tackle by James Bradberry),10,2.08,3.58,1.5
2023-09-17,Bills,Raiders,2,6:40,1,10,BUF 47,14-10,Josh Allen pass complete short left to Dalton Kincaid for 10 yards (tackle by Nate Hobbs),10,2.06,2.72,0.66
2023-10-26,Bills,Buccaneers,3,1:36,1,10,BUF 28,24-10,Josh Allen pass complete short left to Stefon Diggs for 10 yards (tackle by Carlton Davis),10,0.81,1.47,0.66
2023-09-11,Bills,Jets,4,0:29,2,5,NYJ 42,13-16,Josh Allen pass complete short left to Stefon Diggs for 10 yards (tackle by D.J. Reed),10,2.59,3.45,0.86
2023-10-22,Bills,Patriots,3,12:54,2,9,BUF 35,3-13,Josh Allen pass complete short left to Deonte Harty for 10 yards (tackle by Jonathan Jones),10,0.79,1.93,1.14
2023-10-15,Bills,Giants,1,9:31,2,10,BUF 46,0-0,Josh Allen pass complete short right to Gabriel Davis for 9 yards. Gabriel Davis fumbles (forced by Bobby Okereke) (tackle by Adoree' Jackson) recovered by Micah McFadden at NYG-44,9,1.45,-1.86,-3.31
2023-12-31,Bills,Patriots,2,8:32,3,8,BUF 34,20-14,Josh Allen pass complete short left to Khalil Shakir for 9 yards (tackle by Kyle Dugger),9,0.1,1.8,1.7
2023-10-26,Bills,Buccaneers,1,3:11,1,20,BUF 47,3-0,Josh Allen pass complete short right to Gabriel Davis for 9 yards (tackle by Jamel Dean),9,2.06,2.04,-0.02
2023-11-19,Bills,Jets,1,10:46,3,6,BUF 34,3-0,Josh Allen pass complete short left to Dalton Kincaid for 9 yards (tackle by D.J. Reed),9,0.23,1.8,1.57
2023-09-11,Bills,Jets,4,11:44,3,9,BUF 26,13-6,Josh Allen pass complete short right to Latavius Murray for 9 yards (tackle by Jermaine Johnson),9,-0.49,1.27,1.76
2023-12-10,Bills,Chiefs,2,0:41,1,10,BUF 43,14-7,Josh Allen pass complete short right to Stefon Diggs for 10 yards (tackle by Nick Bolton) Replay Assistant challenged the first down ruling and the original play was overturned. Josh Allen pass complete short right to Stefon Diggs for 9 yards (tackle by Nick Bolton),9,1.8,2.47,0.67
2023-12-23,Bills,Chargers,2,4:29,1,10,BUF 37,7-10,Josh Allen pass complete short middle to Dawson Knox for 9 yards (tackle by Justin Hollins),9,1.4,2.07,0.67
2023-12-10,Bills,Chiefs,2,5:37,2,2,BUF 28,14-0,Josh Allen pass complete short left to Trent Sherfield for 9 yards (tackle by Mike Edwards),9,0.81,1.4,0.59
2023-11-19,Bills,Jets,1,0:24,1,15,BUF 46,6-0,Josh Allen pass complete short right to James Cook for 9 yards (tackle by Sauce Gardner),9,1.99,2.32,0.33
2023-10-01,Bills,Dolphins,1,5:17,3,2,BUF 28,7-7,Josh Allen pass complete short left to Trent Sherfield for 9 yards (tackle by Justin Bethel and Bradley Chubb),9,0.1,1.4,1.3
2023-11-13,Bills,Broncos,1,9:09,2,13,DEN 37,0-3,Josh Allen pass complete short left to Dalton Kincaid for 9 yards (tackle by Fabian Moreau),9,2.37,2.87,0.5
2023-10-01,Bills,Dolphins,2,12:02,1,10,MIA 20,14-14,Josh Allen pass complete short right to Trent Sherfield for 9 yards (tackle by Xavien Howard and Andrew Van Ginkel),9,4.24,5.26,1.02
2023-11-13,Bills,Broncos,3,12:02,3,10,BUF 39,8-15,Josh Allen pass complete short left to Dalton Kincaid for 9 yards (tackle by Patrick Surtain),9,0.3,-0.19,-0.49
2023-11-05,Bills,Bengals,4,8:08,1,10,BUF 25,10-24,Josh Allen pass complete short left to Dalton Kincaid for 9 yards (tackle by Chidobe Awuzie),9,0.61,1.28,0.67
2023-09-24,Bills,Washington,3,8:24,1,10,BUF 31,16-0,Josh Allen pass complete short left to Trent Sherfield for 9 yards (tackle by Kendall Fuller and Percy Butler),9,1,1.68,0.68
2023-09-11,Bills,Jets,3,7:35,1,10,BUF 39,13-6,Josh Allen pass complete short left to Dalton Kincaid for 9 yards (tackle by D.J. Reed and Tony Adams),9,1.53,2.2,0.67
2023-11-05,Bills,Bengals,4,5:33,2,10,CIN 37,10-24,Josh Allen pass complete short right to Trent Sherfield for 9 yards (tackle by DJ Turner),9,2.57,3.07,0.5
2023-10-01,Bills,Dolphins,3,4:26,2,14,MIA 29,34-20,Josh Allen pass complete short middle to Gabriel Davis for 9 yards (tackle by David Long and Jevon Holland),9,2.82,3.34,0.52
2023-10-26,Bills,Buccaneers,1,10:22,1,10,TAM 38,0-0,Josh Allen pass complete short right to Gabriel Davis for 9 yards (tackle by Shaquil Barrett),9,3.05,3.72,0.67
2023-11-05,Bills,Bengals,4,7:09,1,10,BUF 41,10-24,Josh Allen pass complete short left to Khalil Shakir for 9 yards (tackle by Chidobe Awuzie and Logan Wilson),9,1.66,2.34,0.68
2023-11-05,Bills,Bengals,3,13:36,3,4,BUF 32,7-21,Josh Allen pass complete short right to Dalton Kincaid for 9 yards (tackle by Nick Scott),9,0.23,1.66,1.43
2023-11-05,Bills,Bengals,1,8:41,3,5,BUF 20,0-7,Josh Allen pass complete short middle to Stefon Diggs for 9 yards (tackle by Chidobe Awuzie),9,-0.76,0.87,1.63
2023-10-08,Bills,Jaguars,1,1:08,2,10,BUF 25,0-11,Josh Allen pass complete short left to Gabriel Davis for 9 yards (tackle by Darious Williams and Foyesade Oluokun),9,0.06,0.56,0.5
2023-09-24,Bills,Washington,2,4:03,1,25,WAS 45,10-0,Josh Allen pass complete short left to Stefon Diggs for 9 yards (tackle by Benjamin St-Juste and Jamin Davis),9,2.59,2.22,-0.37
2023-10-08,Bills,Jaguars,2,9:50,1,10,BUF 22,0-11,Josh Allen pass complete short left to Gabriel Davis for 9 yards (tackle by Darious Williams),9,0.41,1.08,0.67
2023-11-13,Bills,Broncos,1,4:24,1,10,BUF 20,0-3,Josh Allen pass complete short right to Stefon Diggs for 9 yards (tackle by Fabian Moreau),9,0.28,0.95,0.67
2023-10-01,Bills,Dolphins,1,3:56,1,10,BUF 49,7-7,Josh Allen pass complete short middle to Dalton Kincaid for 9 yards (tackle by Raekwon Davis),9,2.19,2.86,0.67
2024-01-07,Bills,Dolphins,4,2:16,3,10,MIA 46,21-14,Josh Allen pass complete short middle to Khalil Shakir for 9 yards (tackle by David Long),9,1.29,0.79,-0.5
2023-10-26,Bills,Buccaneers,3,14:28,1,10,BUF 43,17-10,Josh Allen pass complete short middle to Khalil Shakir for 9 yards (tackle by Lavonte David and Ryan Neal),9,1.8,2.47,0.67
2023-10-15,Bills,Giants,1,10:20,2,8,BUF 37,0-0,Josh Allen pass complete short left to Gabriel Davis for 9 yards (tackle by Deonte Banks),9,0.99,1.99,1
2023-09-24,Bills,Washington,2,2:56,2,21,WAS 41,10-0,Josh Allen pass complete short middle to Trent Sherfield for 9 yards (tackle by Benjamin St-Juste),9,1.55,2.08,0.53
2023-11-05,Bills,Bengals,4,13:27,1,10,CIN 22,10-21,Josh Allen pass complete short middle to Dalton Kincaid for 9 yards. Dalton Kincaid fumbles (forced by Germaine Pratt) (tackle by Nick Scott) recovered by Nick Scott at CIN-13 (tackle by Mitch Morse),9,4.11,0.32,-3.79
2023-09-17,Bills,Raiders,4,10:41,2,8,BUF 23,31-10,Josh Allen pass complete short right to Gabriel Davis for 9 yards (tackle by Roderic Teamer),9,0.07,1.07,1
2024-01-07,Bills,Dolphins,2,0:11,1,10,MIA 11,7-14,Josh Allen pass complete short middle to Ty Johnson for 9 yards (tackle by Eli Apple and Jerome Baker),9,4.84,5.85,1.01
2023-12-31,Bills,Patriots,4,2:47,2,10,NWE 35,27-21,Josh Allen pass complete short right to Stefon Diggs for 9 yards (tackle by Jonathan Jones),9,2.7,3.2,0.5
2023-11-26,Bills,Eagles,2,1:51,1,10,PHI 40,10-7,Josh Allen pass complete short right to Dalton Kincaid for 8 yards (tackle by Kevin Byard),8,2.92,3.45,0.53
2023-10-22,Bills,Patriots,2,12:56,1,10,BUF 13,3-10,Josh Allen pass complete short left to Dalton Kincaid for 8 yards (tackle by J.C. Jackson),8,-0.32,0.35,0.67
2023-12-10,Bills,Chiefs,2,6:18,1,10,BUF 20,14-0,Josh Allen pass complete short right to James Cook for 8 yards (tackle by Jack Cochrane and Justin Reid),8,0.28,0.81,0.53
2023-10-08,Bills,Jaguars,4,5:50,3,2,BUF 47,7-18,Josh Allen pass complete short right to Stefon Diggs for 8 yards (tackle by Darious Williams),8,1.36,2.59,1.23
2023-09-11,Bills,Jets,2,9:16,2,10,BUF 38,3-3,Josh Allen pass complete short left to Dalton Kincaid for 8 yards (tackle by C.J. Mosley and Jordan Whitehead),8,0.92,1.29,0.37
2023-12-31,Bills,Patriots,2,1:49,1,10,BUF 37,20-14,Josh Allen pass complete short left to Stefon Diggs for 8 yards (tackle by Kyle Dugger and Alex Austin),8,1.4,1.94,0.54
2023-12-23,Bills,Chargers,4,4:15,2,7,BUF 45,21-22,Josh Allen pass complete short left to Stefon Diggs for 8 yards (tackle by Asante Samuel and Derwin James),8,1.59,2.46,0.87
2023-11-13,Bills,Broncos,2,7:10,1,10,BUF 19,0-9,Josh Allen pass complete short left to James Cook for 8 yards (tackle by Alex Singleton),8,0.15,0.75,0.6
2023-10-26,Bills,Buccaneers,3,2:32,1,10,BUF 17,24-10,Josh Allen pass complete short left to Gabriel Davis for 8 yards (tackle by Ryan Neal),8,-0.06,0.62,0.68
2023-11-26,Bills,Eagles,2,15:00,1,10,BUF 43,0-7,Josh Allen pass complete short right to Stefon Diggs for 8 yards (tackle by Zach Cunningham),8,1.8,2.33,0.53
2023-10-22,Bills,Patriots,3,9:57,3,8,NWE 8,9-13,Josh Allen pass complete short left to James Cook for 8 yards touchdown,8,3.58,7,3.42
2023-09-17,Bills,Raiders,3,15:00,1,10,BUF 25,21-10,Josh Allen pass complete short left to Deonte Harty for 8 yards (tackle by Jakorian Bennett and Nate Hobbs),8,0.61,1.14,0.53
2023-09-24,Bills,Washington,2,0:26,3,10,WAS 22,13-0,Josh Allen pass complete short right to Deonte Harty for 8 yards (tackle by Emmanuel Forbes),8,2.87,2.63,-0.24
2023-12-10,Bills,Chiefs,3,10:44,1,20,KAN 26,14-7,Josh Allen pass complete short right to Stefon Diggs for 8 yards (tackle by Leo Chenal and L'Jarius Sneed),8,3.84,3.64,-0.2
2023-10-22,Bills,Patriots,3,13:45,1,10,BUF 34,3-13,Josh Allen pass complete short right to Dalton Kincaid for 8 yards (tackle by Jalen Mills),8,1.2,1.74,0.54
2023-09-11,Bills,Jets,3,5:40,2,7,NYJ 46,13-6,Josh Allen pass complete short right to Stefon Diggs for 8 yards (tackle by Jordan Whitehead),8,2.19,3.05,0.86
2023-11-26,Bills,Eagles,1,11:05,2,10,BUF 44,0-0,Josh Allen pass complete short left to Dalton Kincaid for 8 yards (tackle by Kevin Byard),8,1.32,1.69,0.37
2023-09-17,Bills,Raiders,3,3:46,2,10,RAI 48,28-10,Josh Allen pass complete short right to Dalton Kincaid for 8 yards,8,1.85,2.21,0.36
2023-09-17,Bills,Raiders,3,13:39,1,10,BUF 49,21-10,Josh Allen pass complete short right to Dalton Kincaid for 8 yards (tackle by Nate Hobbs),8,2.19,2.73,0.54
2023-12-10,Bills,Chiefs,2,7:44,2,9,BUF 8,14-0,Josh Allen pass complete short right to Dalton Kincaid for 8 yards (tackle by Chamarri Conner),8,-0.71,-0.37,0.34
2023-10-01,Bills,Dolphins,2,6:20,2,13,BUF 46,21-14,Josh Allen pass complete short right to Stefon Diggs for 8 yards (tackle by Xavien Howard),8,1.24,1.62,0.38
2023-11-05,Bills,Bengals,3,12:20,1,10,CIN 33,7-21,Josh Allen pass complete short left to James Cook for 8 yards (tackle by Cam Taylor-Britt and Logan Wilson),8,3.38,3.92,0.54
2023-09-17,Bills,Raiders,3,3:02,3,2,RAI 40,28-10,Josh Allen pass complete short right to Latavius Murray for 8 yards (tackle by Marcus Epps),8,2.21,3.45,1.24
2024-01-07,Bills,Dolphins,3,15:00,1,10,BUF 25,7-14,Josh Allen pass complete short left to Stefon Diggs for 7 yards (tackle by David Long),7,0.61,1.01,0.4
2023-10-22,Bills,Patriots,4,7:04,1,10,BUF 37,10-22,Josh Allen pass complete short left to Stefon Diggs for 7 yards (tackle by Ja'Whaun Bentley),7,1.4,1.8,0.4
2023-10-08,Bills,Jaguars,4,6:12,2,9,BUF 40,7-18,Josh Allen pass complete short right to James Cook for 7 yards (tackle by Foyesade Oluokun),7,1.12,1.36,0.24
2023-11-13,Bills,Broncos,4,14:52,1,10,BUF 11,15-15,Josh Allen pass complete short left to Dalton Kincaid for 7 yards (tackle by Ja'Quan McMillian),7,-0.37,0,0.37
2023-09-17,Bills,Raiders,1,1:58,3,6,BUF 20,7-7,Josh Allen pass complete short middle to Dawson Knox for 7 yards (tackle by David Long),7,-0.82,0.74,1.56
2023-09-24,Bills,Washington,2,5:51,2,9,WAS 44,10-0,Josh Allen pass complete short middle to Deonte Harty for 7 yards (tackle by Kamren Curl),7,2.18,2.41,0.23
2023-10-26,Bills,Buccaneers,4,15:00,3,11,TAM 49,24-10,Josh Allen pass complete short left to Stefon Diggs for 7 yards (tackle by Lavonte David and Devin White),7,1.03,0.46,-0.57
2023-11-26,Bills,Eagles,1,14:28,2,9,BUF 26,0-0,Josh Allen pass complete short left to James Cook for 7 yards (tackle by Darius Slay),7,0.2,0.43,0.23
2023-09-17,Bills,Raiders,1,0:40,2,7,BUF 30,7-7,Josh Allen pass complete short right to Gabriel Davis for 7 yards (tackle by Nate Hobbs and Jakorian Bennett),7,0.6,1.4,0.8
2023-10-26,Bills,Buccaneers,4,11:00,3,9,BUF 49,24-10,Josh Allen pass complete short right to Dalton Kincaid for 7 yards (tackle by Ryan Neal),7,1.02,0.33,-0.69
2023-12-17,Bills,Cowboys,2,5:41,2,6,BUF 40,14-3,Josh Allen pass complete short left to Stefon Diggs for 7 yards (tackle by Stephon Gilmore and Markquese Bell),7,1.33,2.06,0.73
2023-12-23,Bills,Chargers,2,11:36,2,17,BUF 33,0-10,Josh Allen pass complete short right to Dalton Kincaid for 7 yards (tackle by Michael Davis),7,0.11,0.37,0.26
2023-10-01,Bills,Dolphins,1,13:06,2,8,BUF 38,0-0,Josh Allen pass complete short right to Dalton Kincaid for 7 yards (tackle by Jerome Baker and David Long),7,1.06,1.29,0.23
2023-10-01,Bills,Dolphins,3,3:46,3,5,MIA 20,34-20,Josh Allen pass complete short left to Deonte Harty for 7 yards (tackle by Jevon Holland),7,3.34,4.71,1.37
2023-11-26,Bills,Eagles,2,10:06,2,16,PHI 35,3-7,Josh Allen pass complete short middle to James Cook for 7 yards (tackle by Bradley Roby),7,2.29,2.54,0.25
2023-10-22,Bills,Patriots,3,1:13,3,8,NWE 50,10-16,Josh Allen pass complete short middle to Dalton Kincaid for 7 yards (tackle by Anfernee Jennings and Mack Wilson),7,1.16,0.4,-0.76
2023-09-11,Bills,Jets,1,15:00,1,10,BUF 25,0-0,Josh Allen pass complete short right to Stefon Diggs for 7 yards (tackle by Sauce Gardner),7,0.61,1.01,0.4
2023-11-26,Bills,Eagles,4,1:55,3,4,PHI 7,30-28,Josh Allen pass complete short right to Gabriel Davis for 7 yards touchdown,7,4.33,7,2.67
